file_name,n_tokens
mm2src/mm2_bitcoin/rpc/src/v1/types/bytes.rs,1132
mm2src/mm2_bitcoin/rpc/src/v1/types/get_block_response.rs,2647
mm2src/mm2_bitcoin/rpc/src/v1/types/get_tx_out_response.rs,1022
mm2src/mm2_bitcoin/rpc/src/v1/types/get_tx_out_set_info_response.rs,23
mm2src/mm2_bitcoin/rpc/src/v1/types/hash.rs,1839
mm2src/mm2_bitcoin/rpc/src/v1/types/mod.rs,348
mm2src/mm2_bitcoin/rpc/src/v1/types/script.rs,2160
mm2src/mm2_bitcoin/rpc/src/v1/types/transaction.rs,6779
mm2src/mm2_bitcoin/rpc/src/v1/types/uint.rs,824
mm2src/mm2_bitcoin/script/Cargo.toml,135
mm2src/mm2_bitcoin/script/src/builder.rs,1310
mm2src/mm2_bitcoin/script/src/error.rs,1373
mm2src/mm2_bitcoin/script/src/flags.rs,1636
mm2src/mm2_bitcoin/script/src/lib.rs,229
mm2src/mm2_bitcoin/script/src/num.rs,2019
mm2src/mm2_bitcoin/script/src/opcode.rs,12345
mm2src/mm2_bitcoin/script/src/script.rs,9635
mm2src/mm2_bitcoin/script/src/sign.rs,9961
mm2src/mm2_bitcoin/script/src/stack.rs,3935
mm2src/mm2_bitcoin/script/src/verify.rs,1281
mm2src/mm2_bitcoin/serialization/Cargo.toml,97
mm2src/mm2_bitcoin/serialization/src/compact_integer.rs,2699
mm2src/mm2_bitcoin/serialization/src/impls.rs,2886
mm2src/mm2_bitcoin/serialization/src/lib.rs,148
mm2src/mm2_bitcoin/serialization/src/list.rs,217
mm2src/mm2_bitcoin/serialization/src/reader.rs,2183
mm2src/mm2_bitcoin/serialization/src/stream.rs,1064
mm2src/mm2_bitcoin/serialization_derive/Cargo.toml,109
mm2src/mm2_bitcoin/serialization_derive/src/de.rs,573
mm2src/mm2_bitcoin/serialization_derive/src/lib.rs,207
mm2src/mm2_bitcoin/serialization_derive/src/ser.rs,877
mm2src/mm2_bitcoin/serialization_derive/tests/raw.rs,537
mm2src/mm2_bitcoin/spv_validation/Cargo.toml,237
mm2src/mm2_bitcoin/spv_validation/src/conf.rs,1467
mm2src/mm2_bitcoin/spv_validation/src/for_tests/spvTestVectors.json,4184
mm2src/mm2_bitcoin/spv_validation/src/for_tests/workTestVectors.json,2495
mm2src/mm2_bitcoin/spv_validation/src/helpers_validation.rs,10654
mm2src/mm2_bitcoin/spv_validation/src/lib.rs,649
mm2src/mm2_bitcoin/spv_validation/src/spv_proof.rs,1408
mm2src/mm2_bitcoin/spv_validation/src/storage.rs,1108
mm2src/mm2_bitcoin/spv_validation/src/work.rs,4367
mm2src/mm2_bitcoin/test_helpers/Cargo.toml,55
mm2src/mm2_bitcoin/test_helpers/src/hex.rs,256
mm2src/mm2_bitcoin/test_helpers/src/lib.rs,8
mm2src/mm2_core/Cargo.toml,370
mm2src/mm2_core/src/event_dispatcher.rs,1218
mm2src/mm2_core/src/lib.rs,160
mm2src/mm2_core/src/mm_ctx.rs,6735
mm2src/mm2_db/Cargo.toml,476
mm2src/mm2_db/src/indexed_db/be_big_uint.rs,2631
mm2src/mm2_db/src/indexed_db/db_driver.rs,1047
mm2src/mm2_db/src/indexed_db/db_lock.rs,778
mm2src/mm2_db/src/indexed_db/drivers/builder.rs,2309
mm2src/mm2_db/src/indexed_db/drivers/cursor/cursor.rs,3894
mm2src/mm2_db/src/indexed_db/drivers/cursor/empty_cursor.rs,146
mm2src/mm2_db/src/indexed_db/drivers/cursor/multi_key_bound_cursor.rs,5986
mm2src/mm2_db/src/indexed_db/drivers/cursor/multi_key_cursor.rs,437
mm2src/mm2_db/src/indexed_db/drivers/cursor/single_key_bound_cursor.rs,650
mm2src/mm2_db/src/indexed_db/drivers/cursor/single_key_cursor.rs,438
mm2src/mm2_db/src/indexed_db/drivers/object_store.rs,3304
mm2src/mm2_db/src/indexed_db/drivers/transaction.rs,1114
mm2src/mm2_db/src/indexed_db/drivers/upgrader.rs,1085
mm2src/mm2_db/src/indexed_db/indexed_cursor.rs,10129
mm2src/mm2_db/src/indexed_db/indexed_db.rs,15526
mm2src/mm2_db/src/lib.rs,44
mm2src/mm2_err_handle/Cargo.toml,173
mm2src/mm2_err_handle/src/common_errors.rs,117
mm2src/mm2_err_handle/src/discard_mm_trace.rs,285
mm2src/mm2_err_handle/src/lib.rs,268
mm2src/mm2_err_handle/src/map_mm_error.rs,443
mm2src/mm2_err_handle/src/map_to_mm.rs,399
